"DGUID","GEO_NAME","DATA_QUALITY_FLAG","C1_COUNT_TOTAL","CHARACTERISTIC_NAME"
"2021A00055915015","Richmond, City (CY)",0,38960,"  Average after-tax income in 2020 ($)"
"2021A00055915020","Metro Vancouver A, Regional district electoral area (RDA)",0,18612,"Population, 2021"
"2021A00055915020","Metro Vancouver A, Regional district electoral area (RDA)",0,8450,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915020","Metro Vancouver A, Regional district electoral area (RDA)",0,35120,"  Average after-tax income in 2020 ($)"
"2021A00055915022","Vancouver, City (CY)",0,662248,"Population, 2021"
"2021A00055915022","Vancouver, City (CY)",0,9610,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915022","Vancouver, City (CY)",0,46080,"  Average after-tax income in 2020 ($)"
"2021A00055915025","Burnaby, City (CY)",0,249125,"Population, 2021"
"2021A00055915025","Burnaby, City (CY)",0,9660,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915025","Burnaby, City (CY)",0,40200,"  Average after-tax income in 2020 ($)"
"2021A00055915029","New Westminster, City (CY)",0,78916,"Population, 2021"
"2021A00055915029","New Westminster, City (CY)",0,9120,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915029","New Westminster, City (CY)",0,45320,"  Average after-tax income in 2020 ($)"
"2021A00055915034","Coquitlam, City (CY)",0,148625,"Population, 2021"
"2021A00055915034","Coquitlam, City (CY)",0,9670,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915034","Coquitlam, City (CY)",0,41880,"  Average after-tax income in 2020 ($)"
"2021A00055915036","Belcarra, Village (VL)",0,687,"Population, 2021"
"2021A00055915036","Belcarra, Village (VL)",0,9600,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915036","Belcarra, Village (VL)",0,46000,"  Average after-tax income in 2020 ($)"
"2021A00055915038","Anmore, Village (VL)",0,2356,"Population, 2021"
"2021A00055915038","Anmore, Village (VL)",0,8000,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915038","Anmore, Village (VL)",0,56400,"  Average after-tax income in 2020 ($)"
"2021A00055915039","Port Coquitlam, City (CY)",0,61498,"Population, 2021"
"2021A00055915039","Port Coquitlam, City (CY)",0,9030,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915039","Port Coquitlam, City (CY)",0,46000,"  Average after-tax income in 2020 ($)"
"2021A00055915043","Port Moody, City (CY)",0,33535,"Population, 2021"
"2021A00055915043","Port Moody, City (CY)",0,9010,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915043","Port Moody, City (CY)",0,55850,"  Average after-tax income in 2020 ($)"
"2021A00055915046","North Vancouver, District municipality (DM)",0,88168,"Population, 2021"
"2021A00055915046","North Vancouver, District municipality (DM)",0,9130,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915046","North Vancouver, District municipality (DM)",0,51000,"  Average after-tax income in 2020 ($)"
"2021A00055915051","North Vancouver, City (CY)",0,58120,"Population, 2021"
"2021A00055915051","North Vancouver, City (CY)",0,9440,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915051","North Vancouver, City (CY)",0,50160,"  Average after-tax income in 2020 ($)"
"2021A00055915055","West Vancouver, District municipality (DM)",0,44122,"Population, 2021"
"2021A00055915055","West Vancouver, District municipality (DM)",0,9540,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915055","West Vancouver, District municipality (DM)",0,65000,"  Average after-tax income in 2020 ($)"
"2021A00055915062","Bowen Island, Island municipality (IM)",0,4256,"Population, 2021"
"2021A00055915062","Bowen Island, Island municipality (IM)",0,9260,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915062","Bowen Island, Island municipality (IM)",0,61400,"  Average after-tax income in 2020 ($)"
"2021A00055915065","Lions Bay, Village (VL)",0,1390,"Population, 2021"
"2021A00055915065","Lions Bay, Village (VL)",0,8520,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915065","Lions Bay, Village (VL)",0,58000,"  Average after-tax income in 2020 ($)"
"2021A00055915070","Pitt Meadows, City (CY)",0,19146,"Population, 2021"
"2021A00055915070","Pitt Meadows, City (CY)",0,8540,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915070","Pitt Meadows, City (CY)",0,46040,"  Average after-tax income in 2020 ($)"
"2021A00055915075","Maple Ridge, City (CY)",0,90990,"Population, 2021"
"2021A00055915075","Maple Ridge, City (CY)",0,8810,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915075","Maple Ridge, City (CY)",0,42440,"  Average after-tax income in 2020 ($)"
"2021A00055915802","Tsawwassen, Tsawwassen Lands (TWL)",0,2256,"Population, 2021"
"2021A00055915802","Tsawwassen, Tsawwassen Lands (TWL)",0,9560,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915802","Tsawwassen, Tsawwassen Lands (TWL)",0,57600,"  Average after-tax income in 2020 ($)"
"2021A00055915804","Coquitlam 2, Indian reserve (IRI)",9999,0,"Population, 2021"
"2021A00055915804","Coquitlam 2, Indian reserve (IRI)",9999,NA,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915804","Coquitlam 2, Indian reserve (IRI)",9999,NA,"  Average after-tax income in 2020 ($)"
"2021A00055915805","Coquitlam 1, Indian reserve (IRI)",2929,55,"Population, 2021"
"2021A00055915805","Coquitlam 1, Indian reserve (IRI)",2929,NA,"    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)"
"2021A00055915805","Coquitlam 1, Indian reserve (IRI)",2929,NA,"  Average after-tax income in 2020 ($)"
